"codigo_localidade"	"localidade"	"nome_localidade_pai"	"codigo_variavel"	"variavel"	"unidade"	"periodo"	"pop"	"ano"
"1"	"1"	"Adamantina"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	33882	"2016"
"2"	"2"	"Adolfo"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	3490	"2016"
"3"	"3"	"Aguaí"	"Região de Governo de São João da Boa Vista"	"55"	"População"	"Não possui unidade"	"1980-2018"	34242	"2016"
"4"	"4"	"Águas da Prata"	"Região de Governo de São João da Boa Vista"	"55"	"População"	"Não possui unidade"	"1980-2018"	7720	"2016"
"5"	"5"	"Águas de Lindóia"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	17954	"2016"
"6"	"6"	"Águas de São Pedro"	"Região de Governo de Piracicaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	2966	"2016"
"7"	"7"	"Agudos"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	35525	"2016"
"8"	"8"	"Alfredo Marcondes"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	3919	"2016"
"9"	"9"	"Altair"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	3951	"2016"
"10"	"10"	"Altinópolis"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	15560	"2016"
"11"	"11"	"Alto Alegre"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	4057	"2016"
"12"	"12"	"Álvares Florence"	"Região de Governo de Votuporanga"	"55"	"População"	"Não possui unidade"	"1980-2018"	3727	"2016"
"13"	"13"	"Álvares Machado"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	23639	"2016"
"14"	"14"	"Álvaro de Carvalho"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	4883	"2016"
"15"	"15"	"Alvinlândia"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	3109	"2016"
"16"	"16"	"Americana"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	225183	"2016"
"17"	"17"	"Américo Brasiliense"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	38030	"2016"
"18"	"18"	"Américo de Campos"	"Região de Governo de Votuporanga"	"55"	"População"	"Não possui unidade"	"1980-2018"	5732	"2016"
